Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin	1:Experimental evidence at protein level	16.45	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0			
contam_sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	Thioredoxin	1:Experimental evidence at protein level	19.05	1.0000	0.9984	2	1	2	11	10	11	     0	     0	     0			
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	Ubiquitin-40S ribosomal protein S27a	1:Experimental evidence at protein level	19.87	1.0000	0.9990	4	0	4	62	0	62	     0	     0	     0			sp|P0CG49|UBB_MOUSE, sp|P0CG50|UBC_MOUSE, sp|P62983|RS27A_MOUSE, sp|P62984|RL40_MOUSE
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	27.64	1.0000	0.9990	6	3	3	192	56	56	     0	     0	     0	15C(57.0214), 16C(57.0214), 3C(57.0214), 4C(57.0214)		
sp|E9PV24|FIBA_MOUSE	E9PV24	FIBA_MOUSE	Fga	789	Mus musculus	Fibrinogen alpha chain	1:Experimental evidence at protein level	9.76	1.0000	0.9990	8	8	8	28	28	28	     0	     0	     0	1M(15.9949), 3M(15.9949)		
sp|E9Q0S6|TENS1_MOUSE	E9Q0S6	TENS1_MOUSE	Tns1	1888	Mus musculus	Tensin-1	1:Experimental evidence at protein level	19.28	1.0000	0.9990	28	27	28	197	188	197	     0	     0	     0	6M(15.9949)		
sp|E9Q3E1|AL3B2_MOUSE	E9Q3E1	AL3B2_MOUSE	Aldh3b2	479	Mus musculus	Aldehyde dehydrogenase family 3 member B2	1:Experimental evidence at protein level	8.56	1.0000	0.9990	4	3	4	10	9	10	     0	     0	     0			
sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	Mus musculus	Dihydropyrimidinase-related protein 2	1:Experimental evidence at protein level	10.49	1.0000	0.9990	7	5	5	24	11	11	     0	     0	     0	1M(15.9949)		
sp|O08585|CLCA_MOUSE	O08585	CLCA_MOUSE	Clta	235	Mus musculus	Clathrin light chain A	1:Experimental evidence at protein level	11.06	1.0000	0.9984	4	3	4	9	6	9	     0	     0	     0			
sp|O08638|MYH11_MOUSE	O08638	MYH11_MOUSE	Myh11	1972	Mus musculus	Myosin-11	1:Experimental evidence at protein level	43.56	1.0000	0.9990	130	114	130	4689	4245	4689	     0	     0	     0	11M(15.9949), 12M(15.9949), 1M(15.9949), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|O08795|GLU2B_MOUSE	O08795	GLU2B_MOUSE	Prkcsh	521	Mus musculus	Glucosidase 2 subunit beta	1:Experimental evidence at protein level	3.65	1.0000	0.9980	2	2	2	3	3	3	     0	     0	     0			
sp|O35350|CAN1_MOUSE	O35350	CAN1_MOUSE	Capn1	713	Mus musculus	Calpain-1 catalytic subunit	1:Experimental evidence at protein level	2.66	1.0000	0.9987	2	2	2	4	4	4	     0	     0	     0			
